1675-195;Rua Cristovão da Gama nº9 Loja B
1679-013;Rua Projectada à Estrada da Paiã - S/n
1685-105;R. DA ESCOLA SECUNDARIA
1685-244;RUA CENTRO COMUNITARIO PAROQ. Nº1 QUINTA
1685-253;RUA MAJOR JOAO LUIS DE MOURA, PAV. BB
1685-590;RUA OLIVENÇA
1685-595;Rua da República 131
1685-797;RUA 2 DE ABRIL LOTE 936
1685-871;RUA DAS DÁLIAS 27B, QUINTA DAS DÁLIAS
1686-801;RUA DA ESCOLA SECUNDARIA
1700-004;RUA ACÁCIO DE PAIVA Nº 17 B
1700-008;AEROP. LISBOA, RUA C, EDIF 124 PIS5
1700-028;AV.ALM.G.COUTINHO,95
1700-029;AVENIDA GAGO COUTINHO 141
1700-031;Avenida Gago Coutinho, Nº90
1700-036;PRAÇA DE ALVALADE, 7 12º ESQ
1700-048;HOTEL SAT INN LISBOA
1700-051;RUA APRÍGIO MAFRA 5, 1
1700-071;RUA DAS MURTAS 1B 1º
1700-092;Campo Grande, 4C
1700-093;CAMPO GRANDE 28, 10A
1700-094;CAMPO GRANDE, 82 A/B
1700-097;CAMPO GRANDE 382, R/C
1700-115;CONDE DE SABUGOSA 7
1700-142;Rua Domingos Bom tempo 7
1700-143;RUA DR.GAMA BARROS,3-A
1700-157;R.ENTRECAMPOS,35 A
1700-239;Avenida da Igreja, nº 42, 5º
1700-284;AV. MARECHAL CRAVEIRO LOPES, 6
1700-317;TRAVESSA POTE D'AGUA, Nº 10A
1700-348;AV. ROMA 48 A
1700-921;R. ODETTE  SAINT MAURICE,3L -PISO 1- ESC
1704-801;AEROPORTO DE LISBOA EDIFICIO 27 RC
1749-009;AV.MAR.CRAVEIRO LOPES,390
1749-024;Campo Grande 376
1749-081;Campo Grande 83
1749-099;CP.GRANDE n.27
1749-104;EDF. 77 -AEROPORTO DE LISBOA
1749-112;AV. DO BRASIL, 15 - 1º
1749-125;Rua C, Aeroporto Inter.de Lisboa
1750-017;Estrada Ameixoeira 120
1750-097;EMBAIXADOR MARTINS JANEIRA 2 A
1750-129;R.JORGE SENA,1 A 1M
1750-143;Alameda das Linhas de Torres,211 LISBOA
1750-276;ESTRADA S. BARTOLOMEU, Nº 169  ESCRIT. 3
1750-287;Rua Silva Tavares - Nº 3 - Loja 11
1750-364;AEROPORTO LISBOA - EDIF. 134 - PISO 1 -
1750-461;JARDIM MªLUZ P.CARVALHO,2-1.B
1800-033;AV. D BERLIM, 39
1800-039; AV. DE BERLIM N.º 39C - 1
1800-056;RUA DA CENTIEIRA, 35
